iter	MultiClass
0	1.421686928
1	1.297747858
2	1.201722415
3	1.128298216
4	1.066404448
5	1.011843878
6	0.9667305764
7	0.9276702151
8	0.8953171397
9	0.8662061066
10	0.8406478101
11	0.8187976678
12	0.7971739786
13	0.7792057092
14	0.7631802801
15	0.7497555174
16	0.73704586
17	0.7258036987
18	0.7173891507
19	0.709194862
20	0.6997686448
21	0.6910758076
22	0.6845915112
23	0.6776886269
24	0.6722339291
25	0.6673308695
26	0.6620096717
27	0.6586169673
28	0.6548392547
29	0.650726132
30	0.6466235473
31	0.6430486794
32	0.6406549421
33	0.6374251433
34	0.6335063258
35	0.6303313624
36	0.6272048616
37	0.6254383659
38	0.6232870743
39	0.6215479567
40	0.6200435328
41	0.6187878768
42	0.6169605748
43	0.6136117033
44	0.612573824
45	0.6109988006
46	0.6089575059
47	0.6079202402
48	0.6059780377
49	0.6054606802
50	0.6042694424
51	0.6032340104
52	0.6019726359
53	0.6010033983
54	0.5993151481
55	0.599092937
56	0.5979770177
57	0.5972117551
58	0.5964538589
59	0.5959921992
60	0.5947083609
61	0.5941072151
62	0.5934619816
63	0.5928971701
64	0.5926041019
65	0.5918317032
66	0.5909571612
67	0.5898087574
68	0.5887415519
69	0.5881545787
70	0.5874622063
71	0.5862329409
72	0.5858007129
73	0.585287695
74	0.5847968838
75	0.5842764256
76	0.5834801091
77	0.5831472358
78	0.5822493737
79	0.5809723952
80	0.5798706719
81	0.5795379138
82	0.57883804
83	0.5782457893
84	0.5780609232
85	0.5770275021
86	0.5766455037
87	0.5762491648
88	0.5757438871
89	0.5754588545
90	0.5747834579
91	0.5742686327
92	0.5736451069
93	0.5733317236
94	0.5727139596
95	0.5723026198
96	0.5718082887
97	0.5714777909
98	0.5709943346
99	0.5704165161
100	0.5693594909
101	0.5689454039
102	0.5683491814
103	0.5681437225
104	0.5676061917
105	0.5667227475
106	0.5657712661
107	0.5655714581
108	0.5654495268
109	0.5651849494
110	0.5647792466
111	0.5645619923
112	0.5642539439
113	0.5635332151
114	0.5633440646
115	0.5630850901
116	0.5629214738
117	0.5624529965
118	0.5621747091
119	0.561851576
120	0.5615595876
121	0.5612659878
122	0.5605043956
123	0.5593463413
124	0.5591509054
125	0.5586951681
126	0.5585162856
127	0.5582928036
128	0.5575910653
129	0.5570865265
130	0.556127371
131	0.5558422274
132	0.5553646353
133	0.5548803487
134	0.5546750621
135	0.5542607502
136	0.5541034723
137	0.5536622052
138	0.5533571799
139	0.5531190498
140	0.5527606637
141	0.5525898124
142	0.5524386244
143	0.5518468393
144	0.5516203178
145	0.5509935063
146	0.5503997417
147	0.5500671647
148	0.5499178788
149	0.5496874161
150	0.5491668775
151	0.5490422168
152	0.5487755022
153	0.5482877013
154	0.5479624744
155	0.5477971612
156	0.5472209108
157	0.5471274836
158	0.546887628
159	0.5462128879
160	0.5459958357
161	0.5457857613
162	0.5456208291
163	0.5454656691
164	0.5453418019
165	0.5451682405
166	0.544761193
167	0.5446243342
168	0.5442951801
169	0.5441255863
170	0.5440459261
171	0.5434013352
172	0.5433652308
173	0.5432607745
174	0.5431430686
175	0.5427469666
176	0.5421541164
177	0.542054501
178	0.5417928778
179	0.5416626616
180	0.5412972302
181	0.5411183799
182	0.5409872608
183	0.5408884846
184	0.5404450349
185	0.54036488
186	0.5402839603
187	0.5402365199
188	0.5401116552
189	0.5400460463
190	0.5400068809
191	0.5399561937
192	0.5395532826
193	0.5391054735
194	0.539008549
195	0.5383992331
196	0.5383023045
197	0.5382160113
198	0.5381062916
199	0.5379474594
200	0.5377006023
201	0.5376160159
202	0.5374155276
203	0.5373174635
204	0.5371843965
205	0.5370894011
206	0.536971098
207	0.5365233786
208	0.5364552725
209	0.5360876486
210	0.53597202
211	0.5355330636
212	0.5353572373
213	0.5352484008
214	0.5350393204
215	0.5347330568
216	0.5346732154
217	0.5343669766
218	0.5343109807
219	0.5342368874
220	0.5341972001
221	0.5338867378
222	0.5335114137
223	0.5332425645
224	0.532913738
225	0.532599712
226	0.5325558295
227	0.5324765232
228	0.5323600982
229	0.5322762616
230	0.5322076137
231	0.5320934332
232	0.5317647611
233	0.5316542243
234	0.5316032357
235	0.5315302954
236	0.5314760038
237	0.5313026469
238	0.5312333022
239	0.5311830634
240	0.53104728
241	0.5307075124
242	0.530424617
243	0.5301969631
244	0.5298942137
245	0.5295473942
246	0.5294989525
247	0.5293329774
248	0.5292457989
249	0.529081181
250	0.529028267
251	0.5290057
252	0.5288806437
253	0.5287981272
254	0.528745033
255	0.528685106
256	0.5286290145
257	0.5285247074
258	0.5283619695
259	0.5282755369
260	0.5281557014
261	0.5280708704
262	0.5280035558
263	0.5279752951
264	0.5279176398
265	0.5276748522
266	0.5274951967
267	0.5273956072
268	0.5273144083
269	0.527069998
270	0.5270335933
271	0.5269308758
272	0.5268638176
273	0.5267513012
274	0.5265078239
275	0.5264154763
276	0.5263227975
277	0.526069144
278	0.5259543181
279	0.5256471846
280	0.5254891192
281	0.5254513391
282	0.5251395871
283	0.5249904051
284	0.5247816595
285	0.5246977576
286	0.5245936742
287	0.5245512375
288	0.5244275775
289	0.5243714987
290	0.5242036598
291	0.5241721314
292	0.5240690481
293	0.5239888687
294	0.5238937948
295	0.5237425558
296	0.5236386019
297	0.5235751304
298	0.5234848654
299	0.5233677873
300	0.5233178235
301	0.5232541445
302	0.5232101243
303	0.5230275268
304	0.5229894563
305	0.5228981477
306	0.5228630678
307	0.5228360978
308	0.5227731034
309	0.5227040999
310	0.5226696576
311	0.522551432
312	0.522424071
313	0.5223571714
314	0.5223231033
315	0.5222248674
316	0.5219990806
317	0.5219397623
318	0.5218381945
319	0.5216995687
320	0.5216618632
321	0.5215280762
322	0.5214572186
323	0.5212261105
324	0.5211916462
325	0.5211466652
326	0.5210658017
327	0.5210261059
328	0.5209712885
329	0.5208421348
330	0.5208188378
331	0.5207934312
332	0.5207548827
333	0.5207119814
334	0.5206712311
335	0.5206548109
336	0.5205774373
337	0.5205296243
338	0.520493835
339	0.5204231291
