iter	Passed	Remaining
0	161	161042
1	178	88999
2	196	65438
3	211	52710
4	226	45060
5	242	40103
6	255	36285
7	269	33401
8	284	31315
9	298	29582
10	313	28207
11	327	27001
12	345	26252
13	360	25419
14	375	24649
15	388	23912
16	403	23333
17	418	22854
18	430	22228
19	444	21773
20	459	21416
21	474	21083
22	487	20716
23	500	20351
24	514	20069
25	529	19843
26	546	19677
27	561	19482
28	576	19319
29	592	19169
30	609	19038
31	625	18925
32	640	18760
33	654	18609
34	671	18517
35	686	18396
36	703	18302
37	716	18141
38	730	18008
39	746	17918
40	763	17857
41	779	17775
42	796	17720
43	815	17728
44	830	17635
45	845	17541
46	863	17501
47	878	17417
48	893	17336
49	906	17226
50	920	17125
51	933	17018
52	946	16908
53	960	16823
54	975	16762
55	985	16613
56	1000	16548
57	1015	16492
58	1028	16400
59	1041	16317
60	1056	16263
61	1069	16187
62	1084	16136
63	1098	16066
64	1109	15964
65	1123	15895
66	1139	15866
67	1155	15833
68	1177	15891
69	1199	15941
70	1215	15908
71	1234	15911
72	1251	15896
73	1268	15868
74	1281	15807
75	1296	15764
76	1310	15711
77	1323	15644
78	1337	15591
79	1353	15562
80	1369	15538
81	1383	15488
82	1397	15439
83	1411	15391
84	1424	15336
85	1438	15293
86	1454	15262
87	1468	15222
88	1483	15188
89	1497	15143
90	1513	15115
91	1527	15077
92	1543	15048
93	1558	15024
94	1575	15006
95	1590	14979
96	1605	14946
97	1620	14910
98	1636	14891
99	1651	14863
100	1670	14866
101	1685	14840
102	1705	14849
103	1720	14824
104	1737	14814
105	1756	14815
106	1775	14818
107	1791	14792
108	1806	14763
109	1823	14754
110	1838	14721
111	1850	14675
112	1864	14636
113	1879	14608
114	1893	14573
115	1909	14551
116	1924	14525
117	1939	14498
118	1954	14471
119	1972	14468
120	1987	14437
121	2003	14417
122	2018	14392
123	2033	14366
124	2044	14310
125	2059	14282
126	2073	14251
127	2088	14225
128	2106	14220
129	2121	14200
130	2138	14187
131	2154	14168
132	2170	14147
133	2186	14130
134	2201	14106
135	2216	14080
136	2230	14049
137	2243	14015
138	2257	13984
139	2271	13956
140	2285	13925
141	2298	13889
142	2310	13846
143	2325	13826
144	2340	13798
145	2356	13786
146	2374	13779
147	2394	13784
148	2408	13756
149	2425	13747
150	2445	13748
151	2464	13748
152	2481	13738
153	2499	13731
154	2516	13718
155	2532	13699
156	2548	13682
157	2562	13654
158	2577	13631
159	2591	13605
160	2605	13575
161	2619	13548
162	2633	13522
163	2648	13498
164	2662	13472
165	2676	13446
166	2690	13419
167	2703	13390
168	2719	13374
